run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_ldos_n2_L2_nogeom_s2129768291,LDOS+DOS+T,2,2,off,2129768291,0.3768610028283937,2.4120527283718722,2.5392472548297906,0.16883259519374694,0.17269685889628056,1.3782476085542816,2.7379590713842115,0.1536642769878928,0.21061193211181717,2.15018932753447,1.94442810124024,562
ham_ldos_n2_L2_nogeom_s3731635825,LDOS+DOS+T,2,2,off,3731635825,0.43293242901563644,2.511209851987216,2.0112337750670233,0.17740375150880228,0.16473722223261691,1.8070003602275102,3.199660641567389,0.6607085772366175,0.669772821042065,2.5583848608866444,2.724548309674994,804
ham_ldos_n2_L2_geom_s1179027592,LDOS+DOS+T,2,2,on,1179027592,0.4342359410864966,2.3639264875269967,2.351661149833995,0.18002029321482205,0.1723626355693264,1.3317946929325655,2.4594038274600463,0.14362929786841508,0.18346594578588,1.9155606840520958,1.1966145400240173,524
ham_ldos_n2_L2_geom_s2129768291,LDOS+DOS+T,2,2,on,2129768291,0.46741283365658354,2.6372807878791953,2.131734151205392,0.17708070022257172,0.1611091343104043,1.5336184197512548,3.548586897374755,0.24304713886702128,0.36442411349747084,2.7095005063396362,2.596133993600868,1387
ham_ldos_n2_L2_geom_s3731635825,LDOS+DOS+T,2,2,on,3731635825,0.4978011963622911,2.7201157700160348,2.0254173570215777,0.1928363709125763,0.1715010024580702,1.731496287294327,5.0231635067105715,0.530418519075539,0.8565134690951941,3.384248284232446,4.247672944705453,768
ham_ldos_n2_L4_nogeom_s1179027592,LDOS+DOS+T,2,4,off,1179027592,0.30124038085341454,2.51492508637799,1.999216348482868,0.16766043282740112,0.17727275117807556,1.4450950492342074,2.626256239652722,0.4507312187082271,0.5110363038697345,2.1923109634681808,2.523299617519234,558
ham_ldos_n2_L4_nogeom_s2129768291,LDOS+DOS+T,2,4,off,2129768291,0.3259338214993477,2.20197753983146,2.478437179680829,0.15668040121136967,0.17563857370035843,1.4328687090964625,2.6472855886804916,0.29035143354825166,0.3474619330772012,2.2532837582830676,1.4678230392796574,616
ham_ldos_n2_L4_nogeom_s3731635825,LDOS+DOS+T,2,4,off,3731635825,0.31273540748017176,2.19153222272085,2.4855129248285928,0.1625264456998955,0.17802063665580864,1.3720594144592884,2.9269946508522775,0.580321434707021,0.6357830364954487,2.237756209434989,2.0769491904813426,454
ham_ldos_n2_L4_geom_s1179027592,LDOS+DOS+T,2,4,on,1179027592,0.3094012833067349,2.289359083964913,2.7811626375369363,0.14931598783035838,0.1615594106085957,1.2486964543180574,2.807631391775083,0.30306776717677586,0.31513176810398585,2.0052614596531195,1.4217094456617703,1198
ham_ldos_n2_L4_geom_s2129768291,LDOS+DOS+T,2,4,on,2129768291,0.3910370458449636,2.417799423476497,2.15422405982659,0.20046743586033633,0.1765752984002211,1.2796032623965512,4.017596099503381,0.39126081923437805,0.6095546900029016,2.6754156675657343,3.137398491075897,1498
